"Karlshorst Bhf (Berlin) (S)", 009162001#86
"Karow Bhf (Berlin) (S)", 009143001#86
"Kaulsdorf (Berlin) (S)", 009175002#86
"U Kaulsdorf-Nord (Berlin)", 009175004#86
"Kleistpark (Berlin) (U)", 009054102#86
"Klosterstr. (Berlin) (U)", 009100015#86
"U Kochstr./Checkpoint Charlie (Berlin)", 009012102#86
"S Köllnische Heide (Berlin)", 009077155#86
"Königs Wusterhausen Bhf (S)", 009260001#86
"Konstanzer Str. (Berlin) (U)", 009041201#86
"Köpenick (Berlin) (S)", 009180001#86
"U Kottbusser Tor (Berlin)", 009013102#86
"U Krumme Lanke (Berlin)", 009050201#86
"Kurfürstendamm (Berlin) (U)", 009023203#86
"Kurfürstendamm (Berlin) (U)", 009023203#86
"Kurfürstenstr. (Berlin) (U)", 009005201#86
"U Kurt-Schumacher-Platz (Berlin)", 009086102#86
"Landsberger Allee (Berlin) (S)", 009110004#86
"Lankwitz (Berlin) (S)", 009067221#86
"S Lehnitz", 009200006#86
"U Leinestr. (Berlin)", 009079201#86
"U Leopoldplatz (Berlin)", 009009102#86
"Lichtenberg Bhf (Berlin) (S+U)", 009160004#86
"Lichtenrade (Berlin) (S)", 009074201#86
"S Lichterfelde Ost Bhf (Berlin)", 009064301#86
"Lichterfelde Süd (Berlin) (S)", 009064201#86
"S Lichterfelde West (Berlin)", 009066101#86
"Lindauer Allee (Berlin) (U)", 009086160#86
"Lipschitzallee (Berlin) (U)", 009082201#86
"Louis-Lewin-Str. (Berlin) (U)", 009175015#86
"Magdalenenstr. (Berlin) (U)", 009160005#86
"Mahlow (S)", 009245028#86
"Mahlsdorf (Berlin) (S)", 009176001#86
"Marienfelde (Berlin) (S)", 009073101#86
"Märkisches Museum (Berlin) (U)", 009100014#86
"Marzahn (Berlin) (S)", 009170001#86
"U Mehringdamm (Berlin)", 009017101#86
"Mehrower Allee (Berlin) (S)", 009170003#86
"U Mendelssohn-Bartholdy-Park (Berlin)", 009005252#86
"S Messe Nord/ICC (Berlin)", 009024106#86
"S Messe Nord/ICC (Berlin)", 009024106#86
"S Messe Süd (Berlin)", 009025423#86
"S Mexikoplatz (Berlin)", 009050301#86
"U Mierendorffplatz (Berlin)", 009019204#86
"U Möckernbrücke (Berlin)", 009017104#86
"Mohrenstr. (Berlin) (U)", 009100010#86
"U Moritzplatz (Berlin)", 009013101#86
"Mühlenbeck-Mönchmühle (S)", 009200013#86
"Naturkundemuseum (Berlin) (U)", 009100009#86
"U Nauener Platz (Berlin)", 009009201#86
"U Neu-Westend (Berlin)", 009026101#86
"U Neue Grottkauer Str. (Berlin)", 009175005#86
"Neuenhagen (S)", 009320007#86
"Neukölln (Berlin) (S+U)", 009078201#86
"S Nikolassee (Berlin)", 009052201#86
"Nöldnerplatz (Berlin) (S)", 009160003#86
"U Nollendorfplatz (Berlin)", 009056102#86
"Nordbahnhof (Berlin) (S)", 009007104#86
"Oberspree (Berlin) (S)", 009192002#86
"Olympia-Stadion (Berlin) (U)", 009025203#86
"S Olympiastadion (Berlin)", 009025321#86
"U Onkel Toms Hütte (Berlin)", 009050282#86
"Oranienburg Bhf (S)", 009200005#86
"Oranienburger Str. (Berlin) (S)", 009100007#86
"Oranienburger Tor (Berlin) (U)", 009100019#86
"Ostpreußendamm/Osdorfer Str. (Berlin)", 009064206#86
"U Oskar-Helene-Heim (Berlin)", 009051301#86
"Osloer Str. (Berlin) (U)", 009009202#86
"Ostbahnhof (Berlin) (S)", 009120005#86
"S Ostkreuz (Berlin)", 009120003#86
"Otisstr. (Berlin) (U)", 009086101#86
"Pankow (Berlin) (S+U)", 009130002#86
